Date,ATVI Return,S&P 500 Return
7/1/2021,,
7/2/2021,0.39%,0.75%
7/6/2021,0.14%,-0.20%
7/7/2021,-1.15%,0.34%
7/8/2021,-1.21%,-0.86%
7/9/2021,0.22%,1.13%
7/12/2021,0.57%,0.35%
7/13/2021,0.37%,-0.35%
7/14/2021,-1.00%,0.12%
7/15/2021,-1.78%,-0.33%
7/16/2021,1.24%,-0.75%
7/19/2021,-1.63%,-1.59%
7/20/2021,1.34%,1.52%
7/21/2021,-0.37%,0.82%
7/22/2021,-0.77%,0.20%
7/23/2021,1.14%,1.01%
7/26/2021,-1.49%,0.24%
7/27/2021,-6.76%,-0.47%
7/28/2021,0.92%,-0.02%
7/29/2021,-1.47%,0.42%
7/30/2021,0.06%,-0.54%
8/2/2021,-1.03%,-0.18%
8/3/2021,-3.54%,0.82%
8/4/2021,2.12%,-0.46%
8/5/2021,-1.47%,0.60%
8/6/2021,2.63%,0.17%
8/9/2021,-1.24%,-0.09%
8/10/2021,1.94%,0.10%
8/11/2021,2.42%,0.25%
8/12/2021,0.20%,0.30%
8/13/2021,-1.55%,0.16%
8/16/2021,0.00%,0.26%
8/17/2021,-0.57%,-0.71%
8/18/2021,-0.65%,-1.07%
8/19/2021,0.41%,0.13%
8/20/2021,-0.65%,0.81%
8/23/2021,-0.50%,0.85%
8/24/2021,-0.52%,0.15%
8/25/2021,-1.20%,0.22%
8/26/2021,0.54%,-0.58%
8/27/2021,1.45%,0.88%
8/30/2021,-1.59%,0.43%
8/31/2021,1.54%,-0.13%
9/1/2021,-0.08%,0.03%
9/2/2021,-1.20%,0.28%
9/3/2021,-0.16%,-0.03%
9/7/2021,-3.34%,-0.34%
9/8/2021,2.32%,-0.13%
9/9/2021,-2.79%,-0.46%
9/10/2021,2.04%,-0.77%
9/13/2021,-1.39%,0.23%
9/14/2021,-0.88%,-0.57%
9/15/2021,0.53%,0.85%
9/16/2021,1.32%,-0.16%
9/17/2021,0.35%,-0.91%
9/20/2021,-4.25%,-1.70%
9/21/2021,-4.13%,-0.08%
9/22/2021,-0.30%,0.95%
9/23/2021,2.55%,1.21%
9/24/2021,0.79%,0.15%
9/27/2021,-0.24%,-0.28%
9/28/2021,1.66%,-2.04%
9/29/2021,1.38%,0.16%
9/30/2021,0.01%,-1.19%
10/1/2021,1.47%,1.15%
10/4/2021,-1.72%,-1.30%
10/5/2021,-0.49%,1.05%
10/6/2021,0.64%,0.41%
10/7/2021,0.09%,0.83%
10/8/2021,0.32%,-0.19%
10/11/2021,-1.66%,-0.69%
10/12/2021,-1.83%,-0.24%
10/13/2021,0.44%,0.30%
10/14/2021,1.14%,1.71%
10/15/2021,0.38%,0.75%
10/18/2021,0.00%,0.34%
10/19/2021,1.02%,0.74%
10/20/2021,1.17%,0.37%
10/21/2021,0.79%,0.30%
10/22/2021,0.72%,-0.11%
10/25/2021,2.42%,0.47%
10/26/2021,-0.53%,0.18%
10/27/2021,-2.61%,-0.51%
10/28/2021,0.29%,0.98%
10/29/2021,-0.87%,0.19%
11/1/2021,1.48%,0.18%
11/2/2021,-2.12%,0.37%
11/4/2021,2.22%,0.42%
11/5/2021,-0.59%,0.37%
11/8/2021,-1.49%,0.09%
11/9/2021,0.42%,-0.35%
11/10/2021,-0.66%,-0.82%
11/11/2021,1.26%,0.06%
11/12/2021,3.24%,0.72%
11/15/2021,1.06%,0.00%
11/16/2021,-6.09%,0.39%
11/17/2021,-2.93%,-0.26%
11/18/2021,-2.38%,0.34%
11/19/2021,-0.46%,-0.14%
11/22/2021,-0.29%,-0.32%
11/23/2021,-0.69%,0.17%
11/24/2021,-1.39%,0.23%
11/26/2021,-0.48%,-2.27%
11/29/2021,-0.51%,1.32%
11/30/2021,-2.84%,-1.90%
12/1/2021,-2.25%,-1.18%
12/2/2021,0.02%,1.42%
12/3/2021,0.12%,-0.84%
12/6/2021,1.27%,1.17%
12/7/2021,1.17%,2.07%
12/8/2021,0.85%,0.31%
12/9/2021,-0.34%,-0.72%
12/10/2021,-0.80%,0.95%
12/13/2021,0.17%,-0.91%
12/14/2021,1.40%,-0.75%
12/15/2021,1.24%,1.63%
12/16/2021,2.04%,-0.87%
12/17/2021,-0.21%,-1.03%
12/20/2021,0.72%,-1.14%
12/21/2021,2.90%,1.78%
12/22/2021,0.80%,1.02%
12/23/2021,1.65%,0.62%
12/27/2021,0.45%,1.38%
12/28/2021,1.86%,-0.10%
12/29/2021,0.73%,0.14%
12/30/2021,0.49%,-0.30%
12/31/2021,-1.42%,-0.26%
1/3/2022,1.34%,0.64%
1/4/2022,-0.33%,-0.06%
1/5/2022,-1.35%,-1.94%
1/6/2022,-3.73%,-0.10%
1/7/2022,0.34%,-0.41%
1/10/2022,-1.45%,-0.14%
1/11/2022,4.34%,0.92%
1/12/2022,-1.58%,0.28%
1/13/2022,-0.99%,-1.42%
1/14/2022,1.90%,0.08%
1/18/2022,25.88%,-1.84%
1/19/2022,-0.19%,-0.97%
1/20/2022,-0.47%,-1.10%
1/21/2022,-0.50%,-1.89%
1/24/2022,-1.70%,0.28%
1/25/2022,-1.06%,-1.22%
1/26/2022,-0.43%,-0.15%
1/27/2022,0.15%,-0.54%
1/28/2022,0.30%,2.43%
